,,mae,mape,rmse,mse
decision_tree_regressor,PESO_7_ahead1,3725035.4805194805,1.2397560998118198,5021178.201931232,25212230535549.355
decision_tree_regressor,PESO_7_ahead2,3052075.3636363638,0.6005253164481004,4145393.8190495134,17184289915013.908
decision_tree_regressor,PESO_7_ahead3,4892922.61038961,0.754181329651994,6053987.77344307,36650767960998.18
decision_tree_regressor,PESO_7_ahead4,4730752.948051948,0.7386979434060099,5886938.898718217,34656049597241.66
decision_tree_regressor,PESO_7_ahead5,4515568.2467532465,0.7366839695063759,5720305.69873478,32721897286977.6
decision_tree_regressor,PESO_7_ahead6,3688161.5844155843,0.6523660991718943,5006925.069293391,25069298649518.625
decision_tree_regressor,PESO_7_mean,4100752.7056277054,0.787035126332699,5305788.243528367,28582422324216.55
adaboost_tree_regressor,PESO_7_ahead1,2261904.6363636362,0.44232591709931146,3462433.5379055557,11988446004413.182
adaboost_tree_regressor,PESO_7_ahead2,2875850.5454545454,0.4554524712652368,4122517.3275608723,16995149116039.637
adaboost_tree_regressor,PESO_7_ahead3,4128514.0,0.544655333060131,5591084.598310356,31260226985463.273
adaboost_tree_regressor,PESO_7_ahead4,3645482.727272727,0.539866548682276,5086379.475020196,25871256163906.727
adaboost_tree_regressor,PESO_7_ahead5,3888241.8181818184,0.5732686389763391,5409310.392440393,29260638921763.637
adaboost_tree_regressor,PESO_7_ahead6,3486664.4545454546,0.5665174792045536,5004058.743568964,25040603909089.0
adaboost_tree_regressor,PESO_7_mean,3381109.696969697,0.520347731381308,4779297.345801056,23402720183445.91
adaboost_tree_regressor_chain,PESO_7_ahead1,2288650.727272727,0.4506388080064578,3493921.626317391,12207488330848.363
adaboost_tree_regressor_chain,PESO_7_ahead2,2696185.3636363638,0.42351032063775396,3918752.1252912204,15356618219474.455
adaboost_tree_regressor_chain,PESO_7_ahead3,3997865.272727273,0.5613563344050528,5430298.833654972,29488145422794.547
adaboost_tree_regressor_chain,PESO_7_ahead4,3930914.909090909,0.5405398624616612,5449431.611344885,29696304886724.91
adaboost_tree_regressor_chain,PESO_7_ahead5,4091863.0,0.6016975521450015,5550758.191569533,30810916501276.273
adaboost_tree_regressor_chain,PESO_7_ahead6,2997583.1818181816,0.510966969061702,4415918.557375114,19500336705369.91
adaboost_tree_regressor_chain,PESO_7_mean,3333843.742424242,0.5147849744529381,4709846.824258853,22843301677748.08
gaussian_process_regressor,PESO_7_ahead1,3553573.311483538,0.9860728638447572,4521478.677791024,20443769433718.867
gaussian_process_regressor,PESO_7_ahead2,3482805.7428203393,1.0326253281692528,4224027.682975747,17842409866545.457
gaussian_process_regressor,PESO_7_ahead3,4485661.292769246,0.645383924510752,5755062.420134899,33120743459648.965
gaussian_process_regressor,PESO_7_ahead4,4689408.810166567,0.9174970548821342,5535559.498603038,30642418962574.316
gaussian_process_regressor,PESO_7_ahead5,4289208.333090377,0.7455392509058402,5625469.147392602,31645903128266.047
gaussian_process_regressor,PESO_7_ahead6,3032605.5898018098,0.7008500508466065,4229854.844670525,17891672006982.71
gaussian_process_regressor,PESO_7_mean,3922210.513355313,0.8379947455265571,4981908.711927973,25264486142956.062
gaussian_process_regressor_chain,PESO_7_ahead1,3127169.8943832275,0.8241656698560569,3961947.4548653145,15697027635113.744
gaussian_process_regressor_chain,PESO_7_ahead2,3600533.8296536417,0.7109267172675904,4398668.079276011,19348280871641.71
gaussian_process_regressor_chain,PESO_7_ahead3,4143686.8211682094,0.6361114537103417,5473719.583981892,29961606084066.9
gaussian_process_regressor_chain,PESO_7_ahead4,3787359.731939943,0.5752742821095573,5065189.39788471,25656143636443.664
gaussian_process_regressor_chain,PESO_7_ahead5,3520144.904856956,0.5736603386178265,4898225.202183668,23992610131307.23
gaussian_process_regressor_chain,PESO_7_ahead6,3201721.4607524704,0.5672266290623482,4724248.889783579,22318527572621.38
gaussian_process_regressor_chain,PESO_7_mean,3563436.107125742,0.6478941817706202,4753666.434662529,22829032655199.105
gradient_boost,PESO_7_ahead1,2532194.5438855956,0.9070816671188292,3151754.736985333,9933557922109.484
gradient_boost,PESO_7_ahead2,3032822.9529841505,0.46922941004126373,4336011.533644269,18800996019896.13
gradient_boost,PESO_7_ahead3,3241267.15549718,0.5651818083880994,4532413.774496801,20542774623248.34
gradient_boost,PESO_7_ahead4,3835177.9436883433,0.5957293923911615,5324381.460185261,28349037933564.535
gradient_boost,PESO_7_ahead5,3752959.6983280717,0.5849875567599225,5168272.078354977,26711036275903.676
gradient_boost,PESO_7_ahead6,2727668.7445933293,0.5294537238001413,4118179.9668298247,16959406239198.498
gradient_boost,PESO_7_mean,3187015.1731627784,0.6086105930832363,4438502.258416078,20216134835653.44
random_forest,PESO_7_ahead1,2816751.770101732,0.5661953685431858,3976551.477950051,15812961656786.736
random_forest,PESO_7_ahead2,2176301.8443759023,0.5236120149690009,3139419.3554163077,9855953889162.545
random_forest,PESO_7_ahead3,3217007.833174603,0.466234357665877,4641071.451711312,21539544219889.746
random_forest,PESO_7_ahead4,3876832.5108174603,0.6344580764432206,5252936.196040328,27593338679670.625
random_forest,PESO_7_ahead5,3770051.8775317464,0.5565763170932353,5258828.355377221,27655275671319.484
random_forest,PESO_7_ahead6,3241230.935095959,0.5862083569481368,4629873.7808062155,21435731226196.844
random_forest,PESO_7_mean,3183029.461849567,0.5555474152771095,4483113.436216906,20648800890504.332
